"TICKER"|"METRIC"|"VALUE"
"APA"|"PAY.RETIRE.QUAL"|"80.43"
"HSY"|"PAY.RETIRE.QUAL"|"78"
"STI"|"PAY.RETIRE.QUAL"|"78"
"CAG"|"PAY.RETIRE.QUAL"|"71.7"
"ILMN"|"PAY.RETIRE.QUAL"|"78"
"BF B"|"PAY.RETIRE.QUAL"|"79.46"
"BHI"|"PAY.RETIRE.QUAL"|"82"
"WEC"|"PAY.RETIRE.QUAL"|"82"
"SCCO"|"PAY.RETIRE.QUAL"|"73.74"
"PAYX"|"PAY.RETIRE.QUAL"|"53"
"NLSN"|"PAY.RETIRE.QUAL"|"76"
"OMC"|"PAY.RETIRE.QUAL"|"68"
"SIRI"|"PAY.RETIRE.QUAL"|"79"
"CPB"|"PAY.RETIRE.QUAL"|"75"
"BEN"|"PAY.RETIRE.QUAL"|"84"
"CMI"|"PAY.RETIRE.QUAL"|"79.97"
"MCO"|"PAY.RETIRE.QUAL"|"84"
"LB"|"PAY.RETIRE.QUAL"|"66"
"PCAR"|"PAY.RETIRE.QUAL"|"76"
"CERN"|"PAY.RETIRE.QUAL"|"76"
"PGR"|"PAY.RETIRE.QUAL"|"75"
"NEM"|"PAY.RETIRE.QUAL"|"81.74"
"DVN"|"PAY.RETIRE.QUAL"|"81"
"TYC"|"PAY.RETIRE.QUAL"|"73.97"
"MTB"|"PAY.RETIRE.QUAL"|"76"
"HES"|"PAY.RETIRE.QUAL"|"89"
"LVLT"|"PAY.RETIRE.QUAL"|"79"
"HRL"|"PAY.RETIRE.QUAL"|"65.83"
"ES"|"PAY.RETIRE.QUAL"|"74"
"APH"|"PAY.RETIRE.QUAL"|"65.55"
"DLPH"|"PAY.RETIRE.QUAL"|"82.78"
"TROW"|"PAY.RETIRE.QUAL"|"83"
"AAL"|"PAY.RETIRE.QUAL"|"75.01"
"ADI"|"PAY.RETIRE.QUAL"|"85"
"MPC"|"PAY.RETIRE.QUAL"|"87"
"HIG"|"PAY.RETIRE.QUAL"|"82"
"SJM"|"PAY.RETIRE.QUAL"|"72.31"
"CLX"|"PAY.RETIRE.QUAL"|"85"
"IP"|"PAY.RETIRE.QUAL"|"74.7"
"ROP"|"PAY.RETIRE.QUAL"|"70.06"
"DTE"|"PAY.RETIRE.QUAL"|"81.74"
"DPS"|"PAY.RETIRE.QUAL"|"66"
"RSG"|"PAY.RETIRE.QUAL"|"65.93"
"SWK"|"PAY.RETIRE.QUAL"|"69"
"BCR"|"PAY.RETIRE.QUAL"|"77"
"MAR"|"PAY.RETIRE.QUAL"|"63"
"VIA"|"PAY.RETIRE.QUAL"|"83"
"IR"|"PAY.RETIRE.QUAL"|"82.86"
"ABC"|"PAY.RETIRE.QUAL"|"71"
"CXO"|"PAY.RETIRE.QUAL"|NA
"DLR"|"PAY.RETIRE.QUAL"|NA
"AMP"|"PAY.RETIRE.QUAL"|"80"
"WDAY"|"PAY.RETIRE.QUAL"|"74"
"WMB"|"PAY.RETIRE.QUAL"|"76"
"CLR"|"PAY.RETIRE.QUAL"|"83"
"NTRS"|"PAY.RETIRE.QUAL"|"79"
"NBL"|"PAY.RETIRE.QUAL"|"87"
"NUE"|"PAY.RETIRE.QUAL"|"79.57"
"EXPE"|"PAY.RETIRE.QUAL"|"75"
"DVA"|"PAY.RETIRE.QUAL"|"62"
"DISCA"|"PAY.RETIRE.QUAL"|"81"
"UA"|"PAY.RETIRE.QUAL"|"60"
"AMTD"|"PAY.RETIRE.QUAL"|"79"
"RCL"|"PAY.RETIRE.QUAL"|"58"
"PRGO"|"PAY.RETIRE.QUAL"|"79"
"MJN"|"PAY.RETIRE.QUAL"|"86"
"VMC"|"PAY.RETIRE.QUAL"|"78.99"
"ROK"|"PAY.RETIRE.QUAL"|"81"
"PH"|"PAY.RETIRE.QUAL"|"79.93"
"XRAY"|"PAY.RETIRE.QUAL"|"63.45"
"IBKR"|"PAY.RETIRE.QUAL"|"84"
"INCY"|"PAY.RETIRE.QUAL"|"84"
"ULTA"|"PAY.RETIRE.QUAL"|"45"
"S"|"PAY.RETIRE.QUAL"|"78"
"A"|"PAY.RETIRE.QUAL"|"88"
"CTL"|"PAY.RETIRE.QUAL"|"73.12"
"EFX"|"PAY.RETIRE.QUAL"|"82"
"HSIC"|"PAY.RETIRE.QUAL"|"75"
"FE"|"PAY.RETIRE.QUAL"|"79"
"GPC"|"PAY.RETIRE.QUAL"|"65"
"MHK"|"PAY.RETIRE.QUAL"|"70"
"UAL"|"PAY.RETIRE.QUAL"|"73.08"
"ETR"|"PAY.RETIRE.QUAL"|"82.06"
"RHT"|"PAY.RETIRE.QUAL"|"83"
"AWK"|"PAY.RETIRE.QUAL"|"75"
"TDG"|"PAY.RETIRE.QUAL"|"69"
"FITB"|"PAY.RETIRE.QUAL"|"73"
"MGM"|"PAY.RETIRE.QUAL"|"58"
"CA"|"PAY.RETIRE.QUAL"|"84"
"AGR"|"PAY.RETIRE.QUAL"|"86"
"GWW"|"PAY.RETIRE.QUAL"|"72"
"L"|"PAY.RETIRE.QUAL"|"66"
"FLT"|"PAY.RETIRE.QUAL"|"62"
"WHR"|"PAY.RETIRE.QUAL"|"77"
"VRSK"|"PAY.RETIRE.QUAL"|"71"
"CTXS"|"PAY.RETIRE.QUAL"|"79"
"BMRN"|"PAY.RETIRE.QUAL"|"85"
"LH"|"PAY.RETIRE.QUAL"|"64"
"LRCX"|"PAY.RETIRE.QUAL"|"82"
"WDC"|"PAY.RETIRE.QUAL"|"83"
"MKL"|"PAY.RETIRE.QUAL"|"81"
"UHS"|"PAY.RETIRE.QUAL"|"59"
"EQT"|"PAY.RETIRE.QUAL"|"82"
"NOV"|"PAY.RETIRE.QUAL"|"76"
"CHD"|"PAY.RETIRE.QUAL"|"80.62"
