BA,Boeing Co/The,,,,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,,
JOB,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG INDUSTRY,UNADJUSTED HOURLY AVG,UNADJUSTED HOURLY AVG INDUSTRY,Lockheed Martin Corp,Northrop Grumman Corp,Honeywell International Inc,Raytheon Co,L-3 Communications Holdings Inc,United Technologies Corp,Rockwell Collins Inc,General Dynamics Corp,Textron Inc,Orbital ATK Inc,B/E Aerospace Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCORE,MAX
material handler,10.91,11.68,11.62,12.14,,12.55,,,11.83,,,10.75,,,,,,,,,,,,,,,,,,,,,,,12.70,,,,,11.36,,,,,,,,,,,,,,,2,6
merchandise manager,11.96,18.39,14.24,21.16,19.33,16.15,21.77,18.65,,,,,,,24.86,15.45,,,,,,,,,,,24.07,,,,,13.31,,,,,,,,,,,,,,,,,,,,,,,1,9
operations manager,16.67,24.90,17.45,27.60,17.98,30.32,24.30,41.20,47.28,24.68,,24.98,20.17,29.94,27.09,24.64,23.58,,25.58,,30.35,,20.85,15.25,14.24,,20.90,,,39.45,,15.72,26.50,11.00,,,,,,,,,,,,,,,,,,,,,5,23
sales,7.94,10.52,9.38,11.84,8.69,9.91,9.00,14.66,,11.19,7.82,7.70,,9.60,13.88,9.82,,,8.00,15.87,,,12.29,,,,,13.36,8.70,14.88,,,,,,,10.00,,7.72,9.45,,,,,,,,,,,,,,,4,20
sales associate,7.47,8.47,8.51,9.38,7.82,9.23,7.70,7.84,,9.24,9.72,7.54,7.51,10.67,8.09,7.86,7.10,,7.87,,8.29,7.58,8.45,8.17,7.58,11.89,7.20,8.80,8.24,13.63,8.14,8.18,,7.18,8.75,,9.74,7.68,6.39,,9.53,,,,,,,,,,,,,,5,32
sales specialist,9.20,10.66,12.13,11.82,,11.80,9.63,,,9.94,,8.90,,15.04,8.59,9.82,,,,,,,,10.44,,13.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,10
stocker,8.00,8.07,8.61,9.20,8.79,9.01,5.40,8.27,,,,7.87,,10.70,,,,,8.06,,,7.70,,,,,,,,,7.89,,,7.13,,,,,,,,,,,,,,,,,,,,,6,11
store manager,27.98,27.89,31.77,30.57,29.24,39.35,26.75,43.30,,33.29,31.67,29.37,28.96,41.18,38.53,24.54,30.88,,28.61,,23.28,26.40,35.93,29.31,22.11,39.15,33.00,22.12,20.87,,18.58,25.15,,19.56,24.46,,19.06,16.61,18.10,17.21,,,,,,,,,,,,,,,16,31
team member,7.60,8.41,8.34,9.42,7.27,10.29,,8.07,,9.05,,7.66,,11.28,9.00,,7.37,,7.90,,,7.38,,,,,7.39,,,,,,,,9.02,,,,,,,,,,,,,,,,,,,,5,13
SCORE,34.7,114/329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,329
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFLX,Netflix Inc,,,,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,,
JOB,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG INDUSTRY,UNADJUSTED HOURLY AVG,UNADJUSTED HOURLY AVG INDUSTRY,Gap Inc/The,Home Depot Inc/The,Macy's Inc,Target Corp,Amazon.com Inc,Best Buy Co Inc,Nordstrom Inc,Kohl's Corp,Staples Inc,Lowe's Cos Inc,JC Penney Co Inc,L Brands Inc,TJX Cos Inc/The,Expedia Inc,Bed Bath & Beyond Inc,Groupon Inc,Williams-Sonoma Inc,Ross Stores Inc,Dick's Sporting Goods Inc,Michaels Cos Inc/The,Office Depot Inc,Urban Outfitters Inc,Dillard's Inc,Burlington Stores Inc,Advance Auto Parts Inc,AutoZone Inc,CarMax Inc,Dollar General Corp,Ulta Salon Cosmetics & Fragrance Inc,Dollar Tree Inc,Tractor Supply Co,TripAdvisor Inc,Signet Jewelers Ltd,GameStop Corp,Foot Locker Inc,O'Reilly Automotive Inc,Cabela's Inc,,,,,,,,,,,,,,SCORE,MAX
customer service manager,26.50,12.35,29.12,13.64,13.30,12.69,12.63,9.61,18.93,9.28,14.26,11.13,11.06,13.51,8.16,,9.58,,13.64,,,,9.26,11.45,13.35,,10.92,8.90,,8.83,,,,,,,,,,,,,,,,,,,,,,,,,20,20
customer service representative,12.85,9.99,14.43,10.94,8.15,10.93,9.84,9.48,11.91,9.44,11.66,9.00,10.16,10.24,8.57,9.50,8.55,,8.16,13.00,11.17,8.71,9.33,,9.69,10.83,10.69,,,8.41,,,,,,,,,,,9.60,,,,,,,,,,,,,,23,24
engineering manager,97.85,67.30,133.34,86.17,,,,,55.19,,,,,,,,,56.50,,59.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4
manager,78.67,30.58,103.66,36.03,30.66,38.56,27.53,19.94,49.85,34.38,,25.96,36.73,33.25,36.16,35.19,26.71,55.67,17.37,50.68,26.64,28.88,16.75,28.20,41.86,10.40,,,28.19,20.80,32.11,29.02,15.71,17.00,10.63,34.77,30.35,20.61,19.79,,,,,,,,,,,,,,,,33,33
marketing manager,64.32,45.49,92.29,59.00,34.49,47.57,24.99,50.37,51.30,46.59,,,42.07,,,52.31,,46.59,,56.55,28.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12
operations manager,26.50,24.90,28.73,27.60,17.98,30.32,24.30,41.20,47.28,24.68,,24.98,20.17,29.94,27.09,24.64,23.58,,25.58,,30.35,,20.85,16.67,15.25,14.24,,20.90,,,39.45,,15.72,11.00,,,,,,,,,,,,,,,,,,,,,16,23
operations research analyst,44.87,38.01,62.42,50.96,34.17,36.79,,,45.87,,,,31.78,,,,,36.91,,,,,,,,,,,,,,,,,,35.67,,,,,,,,,,,,,,,,,,,6,7
software engineer 5 - 10 years,77.19,47.27,101.46,61.35,36.83,,,,49.64,,49.24,,37.27,38.15,,,,46.25,,51.34,,,,,,,,,,,,,,,,39.50,,,,,,,,,,,,,,,,,,,9,9
software engineer < 3 years,76.38,38.55,101.21,46.17,39.90,26.00,23.33,25.93,41.11,,41.16,27.67,32.63,38.58,,,32.16,40.84,,49.17,34.13,,,,43.20,,,,47.64,38.21,,,,,,32.19,42.29,,,,,,,,,,,,,,,,,,19,19
software engineer > 10 years,80.54,56.81,106.83,67.58,,,,,54.38,,47.52,,,,52.11,,,51.87,,54.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6
software engineer h1b,65.95,46.18,93.78,58.87,40.25,49.24,49.23,43.20,46.80,,,55.82,39.90,,,,,44.40,43.83,53.04,35.59,,,,,,,,,38.54,,,,,48.98,37.87,,,,,,,,,,,,,,,,,,,15,15
SCORE,94.8,163/172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163,172
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ODP,Office Depot Inc,,,,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,,
JOB,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG INDUSTRY,UNADJUSTED HOURLY AVG,UNADJUSTED HOURLY AVG INDUSTRY,Gap Inc/The,Home Depot Inc/The,Macy's Inc,Target Corp,Amazon.com Inc,Best Buy Co Inc,Nordstrom Inc,Kohl's Corp,Staples Inc,Lowe's Cos Inc,JC Penney Co Inc,L Brands Inc,TJX Cos Inc/The,Expedia Inc,Bed Bath & Beyond Inc,Groupon Inc,Williams-Sonoma Inc,Ross Stores Inc,Dick's Sporting Goods Inc,Michaels Cos Inc/The,Urban Outfitters Inc,Dillard's Inc,Burlington Stores Inc,Advance Auto Parts Inc,AutoZone Inc,CarMax Inc,Dollar General Corp,Ulta Salon Cosmetics & Fragrance Inc,Netflix Inc,Dollar Tree Inc,Tractor Supply Co,TripAdvisor Inc,Signet Jewelers Ltd,GameStop Corp,Foot Locker Inc,O'Reilly Automotive Inc,Cabela's Inc,,,,,,,,,,,,,,SCORE,MAX
assistant manager,18.68,17.81,19.65,19.70,17.22,25.52,18.64,22.61,17.45,25.32,14.04,24.01,17.72,25.66,26.39,18.08,21.03,,23.52,,15.53,16.22,21.06,17.88,15.11,25.27,21.77,14.36,12.78,19.54,10.62,14.39,,9.46,14.88,,12.38,10.99,8.40,11.07,,,,,,,,,,,,,,,21,33
associate,8.64,8.74,8.94,9.79,8.89,8.64,8.26,9.11,11.41,8.50,9.46,8.26,,10.69,8.30,8.15,7.51,,8.13,,8.41,7.60,8.69,8.30,8.17,,8.63,,,,8.39,,,,,,10.00,,8.77,,,,,,,,,,,,,,,,14,23
business development manager,21.50,33.39,21.34,37.94,,,,,55.54,,,,,,,,,,,23.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3
cashier,8.26,8.12,8.49,9.10,7.70,8.62,7.21,7.78,,8.24,8.91,7.38,7.68,10.82,,8.12,7.01,,7.31,,,7.52,7.92,7.37,8.07,11.55,7.06,,,,7.84,8.43,,7.16,8.56,,,8.70,6.36,,9.42,,,,,,,,,,,,,,18,26
category manager,34.30,24.49,38.60,30.53,,,,17.77,,,,,30.18,,,15.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4
customer service manager,13.35,12.35,14.36,13.64,13.30,12.69,12.63,9.61,18.93,9.28,14.26,11.13,11.06,13.51,8.16,,9.58,,13.64,,,,9.26,11.45,,10.92,8.90,,8.83,,,,26.50,,,,,,,,,,,,,,,,,,,,,,15,20
customer service representative,9.69,9.99,9.80,10.94,8.15,10.93,9.84,9.48,11.91,9.44,11.66,9.00,10.16,10.24,8.57,9.50,8.55,,8.16,13.00,11.17,8.71,9.33,,10.83,10.69,,,8.41,,,,12.85,,,,,,,,9.60,,,,,,,,,,,,,,13,24
district manager,44.00,40.25,47.70,45.19,44.62,55.06,,27.41,,63.50,,,,,,40.65,,,,,,52.77,,,,,,36.79,30.88,,36.36,,,28.87,,,,33.04,,29.27,,,,,,,,,,,,,,,9,13
it manager,48.18,56.27,54.55,66.55,46.09,64.57,,59.20,56.18,56.80,51.07,,51.62,59.33,65.80,,,54.87,,61.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,12
key holder,10.69,9.34,10.73,9.88,9.54,,,,,,,,,,,10.92,,,,,,,,,,,,9.04,,,8.56,10.08,,,,,7.77,8.08,,,,,,,,,,,,,,,,,7,8
manager,41.86,30.58,47.21,36.03,30.66,38.56,27.53,19.94,49.85,34.38,,25.96,36.73,33.25,36.16,35.19,26.71,55.67,17.37,50.68,26.64,28.88,16.75,28.20,10.40,,,28.19,20.80,32.11,29.02,15.71,78.67,17.00,10.63,34.77,30.35,20.61,19.79,,,,,,,,,,,,,,,,29,33
operations manager,15.25,24.90,16.44,27.60,17.98,30.32,24.30,41.20,47.28,24.68,,24.98,20.17,29.94,27.09,24.64,23.58,,25.58,,30.35,,20.85,16.67,14.24,,20.90,,,39.45,,15.72,26.50,11.00,,,,,,,,,,,,,,,,,,,,,3,23
sales associate,8.17,8.47,8.66,9.38,7.82,9.23,7.70,7.84,,9.24,9.72,7.54,7.51,10.67,8.09,7.86,7.10,,7.87,,8.29,7.58,8.45,7.47,7.58,11.89,7.20,8.80,8.24,13.63,8.14,8.18,,7.18,8.75,,9.74,7.68,6.39,,9.53,,,,,,,,,,,,,,18,32
sales consultant,8.65,10.86,9.20,12.40,,6.54,,,,9.44,,,18.29,,,,,,,,,,,,,,,,,11.38,,,,,,,,,,,,,,,,,,,,,,,,,2,5
sales manager,13.70,18.13,14.15,20.22,,17.45,18.61,16.00,,18.97,16.79,14.07,19.25,27.03,20.96,14.23,,,,,,,21.89,,,,,,13.05,21.89,,,,,,,,,,,,,,,,,,,,,,,,,2,14
sales specialist,10.44,10.66,11.00,11.82,,11.80,9.63,,,9.94,,8.90,,15.04,8.59,9.82,,,,,,,,9.20,,13.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,10
software engineer < 3 years,43.20,38.55,48.11,46.17,39.90,26.00,23.33,25.93,41.11,,41.16,27.67,32.63,38.58,,,32.16,40.84,,49.17,34.13,,,,,,,47.64,38.21,,,,76.38,,,32.19,42.29,,,,,,,,,,,,,,,,,,16,19
store manager,29.31,27.89,30.27,30.57,29.24,39.35,26.75,43.30,,33.29,31.67,29.37,28.96,41.18,38.53,24.54,30.88,,28.61,,23.28,26.40,35.93,27.98,22.11,39.15,33.00,22.12,20.87,,18.58,25.15,,19.56,24.46,,19.06,16.61,18.10,17.21,,,,,,,,,,,,,,,20,31
SCORE,60.4,201/333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,333
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORLY,O'Reilly Automotive Inc,,,,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,,
JOB,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG INDUSTRY,UNADJUSTED HOURLY AVG,UNADJUSTED HOURLY AVG INDUSTRY,Gap Inc/The,Home Depot Inc/The,Macy's Inc,Target Corp,Amazon.com Inc,Best Buy Co Inc,Nordstrom Inc,Kohl's Corp,Staples Inc,Lowe's Cos Inc,JC Penney Co Inc,L Brands Inc,TJX Cos Inc/The,Expedia Inc,Bed Bath & Beyond Inc,Groupon Inc,Williams-Sonoma Inc,Ross Stores Inc,Dick's Sporting Goods Inc,Michaels Cos Inc/The,Office Depot Inc,Urban Outfitters Inc,Dillard's Inc,Burlington Stores Inc,Advance Auto Parts Inc,AutoZone Inc,CarMax Inc,Dollar General Corp,Ulta Salon Cosmetics & Fragrance Inc,Netflix Inc,Dollar Tree Inc,Tractor Supply Co,TripAdvisor Inc,Signet Jewelers Ltd,GameStop Corp,Foot Locker Inc,Cabela's Inc,,,,,,,,,,,,,,SCORE,MAX
assistant manager,11.07,17.81,11.69,19.70,17.22,25.52,18.64,22.61,17.45,25.32,14.04,24.01,17.72,25.66,26.39,18.08,21.03,,23.52,,15.53,16.22,21.06,17.88,18.68,15.11,25.27,21.77,14.36,12.78,19.54,10.62,14.39,,9.46,14.88,,12.38,10.99,8.40,,,,,,,,,,,,,,,5,33
delivery driver,8.65,11.86,9.44,12.49,,,,,,14.41,,,16.14,14.01,,,,,,,,,,,,,,,8.78,9.19,,,,,,,,,,,,,,,,,,,,,,,,,1,6
district manager,29.27,40.25,29.17,45.19,44.62,55.06,,27.41,,63.50,,,,,,40.65,,,,,,52.77,,,44.00,,,,36.79,30.88,,36.36,,,28.87,,,,33.04,,,,,,,,,,,,,,,,3,13
material handler,11.36,11.68,11.69,12.14,,12.55,,,11.83,,,10.75,,,,,,,,,,,,10.91,,,,,,,,,,,,12.70,,,,,,,,,,,,,,,,,,,3,6
merchandiser,9.21,11.20,9.34,13.71,20.00,10.48,8.74,9.40,,10.15,,,12.77,,,,,,,,,,,,,,,,,,9.00,,11.03,,,,,,,,,,,,,,,,,,,,,,3,9
sales,9.45,10.52,9.36,11.84,8.69,9.91,9.00,14.66,,11.19,7.82,7.70,,9.60,13.88,9.82,,,8.00,15.87,,,12.29,7.94,,,,,13.36,8.70,14.88,,,,,,,10.00,,7.72,,,,,,,,,,,,,,,9,20
store manager,17.21,27.89,18.03,30.57,29.24,39.35,26.75,43.30,,33.29,31.67,29.37,28.96,41.18,38.53,24.54,30.88,,28.61,,23.28,26.40,35.93,27.98,29.31,22.11,39.15,33.00,22.12,20.87,,18.58,25.15,,19.56,24.46,,19.06,16.61,18.10,,,,,,,,,,,,,,,2,31
SCORE,22.0,26/118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,118
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROST,Ross Stores Inc,,,,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,,
JOB,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG INDUSTRY,UNADJUSTED HOURLY AVG,UNADJUSTED HOURLY AVG INDUSTRY,Gap Inc/The,Home Depot Inc/The,Macy's Inc,Target Corp,Amazon.com Inc,Best Buy Co Inc,Nordstrom Inc,Kohl's Corp,Staples Inc,Lowe's Cos Inc,JC Penney Co Inc,L Brands Inc,TJX Cos Inc/The,Expedia Inc,Bed Bath & Beyond Inc,Groupon Inc,Williams-Sonoma Inc,Dick's Sporting Goods Inc,Michaels Cos Inc/The,Office Depot Inc,Urban Outfitters Inc,Dillard's Inc,Burlington Stores Inc,Advance Auto Parts Inc,AutoZone Inc,CarMax Inc,Dollar General Corp,Ulta Salon Cosmetics & Fragrance Inc,Netflix Inc,Dollar Tree Inc,Tractor Supply Co,TripAdvisor Inc,Signet Jewelers Ltd,GameStop Corp,Foot Locker Inc,O'Reilly Automotive Inc,Cabela's Inc,,,,,,,,,,,,,,SCORE,MAX
area manager,10.99,21.66,12.06,24.35,,24.04,,,29.96,,,13.10,,30.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5
asm,16.07,18.55,18.26,20.60,19.95,24.82,,,,19.22,,24.88,,24.62,,,,,24.54,,,,,,,21.70,19.60,,,,10.02,,,9.25,15.90,,,10.58,,,,,,,,,,,,,,,,,5,13
assistant,14.21,16.28,23.94,21.16,15.21,,15.11,14.03,,10.08,14.09,26.02,,,30.65,17.15,,,13.82,,15.53,11.93,,,15.79,21.45,15.07,,,10.27,,,,,,,,,,,,,,,,,,,,,,,,,7,16
assistant manager,16.22,17.81,18.25,19.70,17.22,25.52,18.64,22.61,17.45,25.32,14.04,24.01,17.72,25.66,26.39,18.08,21.03,,23.52,,15.53,21.06,17.88,18.68,15.11,25.27,21.77,14.36,12.78,19.54,10.62,14.39,,9.46,14.88,,12.38,10.99,8.40,11.07,,,,,,,,,,,,,,,14,33
associate,7.60,8.74,8.45,9.79,8.89,8.64,8.26,9.11,11.41,8.50,9.46,8.26,,10.69,8.30,8.15,7.51,,8.13,,8.41,8.69,8.30,8.64,8.17,,8.63,,,,8.39,,,,,,10.00,,8.77,,,,,,,,,,,,,,,,2,23
buyer,29.60,31.59,50.05,40.43,,,23.95,45.46,27.96,38.27,36.83,,,,49.33,,29.94,,25.15,,22.16,,,,31.58,28.35,30.50,,,23.25,,,,,,,,,,,,,,,,,,,,,,,,,7,14
cashier,7.52,8.12,8.24,9.10,7.70,8.62,7.21,7.78,,8.24,8.91,7.38,7.68,10.82,,8.12,7.01,,7.31,,,7.92,7.37,8.26,8.07,11.55,7.06,,,,7.84,8.43,,7.16,8.56,,,8.70,6.36,,9.42,,,,,,,,,,,,,,9,26
customer service representative,8.71,9.99,8.74,10.94,8.15,10.93,9.84,9.48,11.91,9.44,11.66,9.00,10.16,10.24,8.57,9.50,8.55,,8.16,13.00,11.17,9.33,,9.69,10.83,10.69,,,8.41,,,,12.85,,,,,,,,9.60,,,,,,,,,,,,,,6,24
district manager,52.77,40.25,59.77,45.19,44.62,55.06,,27.41,,63.50,,,,,,40.65,,,,,,,,44.00,,,,36.79,30.88,,36.36,,,28.87,,,,33.04,,29.27,,,,,,,,,,,,,,,11,13
front end manager,7.71,11.00,8.62,12.41,,14.11,,,,16.09,,,,,,,,,9.11,,,,8.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5
intern,9.58,13.85,14.33,17.01,,19.36,11.45,15.69,24.17,,9.00,12.84,13.69,,,13.87,9.42,,,,12.82,12.75,,,,,,,,,,,,,,15.39,,,,,,,,,,,,,,,,,,,3,13
inventory analyst,23.31,24.53,41.00,32.73,,32.74,,,,,,,17.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3
loss prevention,8.77,11.39,10.10,13.10,9.88,16.92,10.55,9.36,,9.66,11.67,9.93,,17.69,10.82,,11.59,,,,,,,,,,9.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,12
